part_id,revision,source_object,source_commit,file,format,units,body_count,solid_count,bbox_mm,volume_mm3,mass_g,sha256,status,release_gate
PPR-FULL-ASM,final-design-fabrication-closure-v0.8,FrameColumn0_0;FrameColumn0_680;FrameColumn450_0;FrameColumn450_680;FrameX0_0;FrameX0_680;FrameY0_0;FrameY0_450;FrameX910_0;FrameX910_680;FrameY910_0;FrameY910_450;FrameTierY320_0;FrameTierY320_450;MidRail320;FrameTierY500_0;FrameTierY500_450;MidRail500;FrameBottomCross275;FrameBottomCross405;FrameBottomCross440;FrameBottomCross608;FrameSpoolColumnFront;FrameSpoolColumnRear;FrameSpoolTopRail;FrameTraversePostLeft;FrameTraversePostRight;MetalHopper;PPR-C01_SlidingLid;PPR-C02_AntiReach;CutterPlateFront;CutterPlateRear;Shaft105;Hook105_0;Hook105_1;Hook105_2;Hook105_3;Hook105_4;Hook105_5;Bearing105_315;Bearing105_455;Shaft153;Hook153_0;Hook153_1;Hook153_2;Hook153_3;Hook153_4;Hook153_5;Bearing153_315;Bearing153_455;M6Fastener70_550;M6Fastener70_645;M6Fastener190_550;M6Fastener190_645;Screen;PPR-C04_ScreenHandle;PhaseGear105;PhaseGear153;CutterSprocket30T;MotorSprocket12T;ChainTightSide;ChainSlackSide;DriveGuard;DriveMotorGMP60Reference;DriveAdapterGMP60;MotorMountPlate;BearingRetainerFront;BearingRetainerRear;ShredderRPMSensorEnvelope;ShredderCableRouteEnvelope;FlakeBin;PPR-C03_FlakeCorner0;PPR-C03_FlakeCorner1;PPR-C03_FlakeCorner2;PPR-C03_FlakeCorner3;SealedFeedHopper;HopperPTCSpreader;HopperPTC1;HopperPTC2;HopperPTC3;HopperPTC4;HopperPTCClamp;TemperatureProbeT5;HopperThermalFuse;FeederHousing;FeederAuger;FeederAgitatorDriveShaft;FeederDriveReference;FeederCableRouteEnvelope;ThrustPlate;Screw;Barrel;BarrelBandHeaterZ1;TemperatureProbeT1;BarrelBandHeaterZ2;TemperatureProbeT2;BarrelBandHeaterZ3;TemperatureProbeT3;BarrelThermalFuse;HotShield;ExtruderDrive;DownDieBody;DownDieBreaker;DownDieInsert;DownDieRelief;DownDieGasket;DieCartridgeHeater;TemperatureProbeT4;DieThermalFuse;HeaterLeadZ1;HeaterLeadZ2;HeaterLeadZ3;HeaterCableDuct;HeaterCableDuctBridgeX;HeaterCableDuctBridgeY;PPR-C05_CoolingDuctLower;PPR-C05_CoolingDuctUpper;PPR-C06_GaugeX;PPR-C06_GaugeY;PullerPlateFront;PullerPlateRear;PullerRoll54.5;PullerSpindle54.5;PullerRoll94.5;PullerSpindle94.5;FormingCableRouteEnvelope;PPR-C07_PullerGuard;GuideRoller;GuideRollerAxle;GuideBearingFront;GuideBearingRear;PPR-C08_GuideBracketFront;PPR-C08_GuideBracketRear;DancerArm;DancerSupportPlate;DancerSupportPost;DancerPivotAxle;DancerEndRoller;DancerEndAxle;Spool;SpoolCore;SpoolSpindle;SpoolBearingPlateFront;SpoolBearingPlateRear;SpoolBearingFront;SpoolBearingRear;PPR-C09_SpoolAdapterFront;PPR-C09_SpoolAdapterRear;TraverseRodA;TraverseRodB;TraverseEndPlateLeft;TraverseEndPlateRight;PPR-C10_TraverseCarriage;DancerSensorEnvelope;TraverseLeftLimitEnvelope;TraverseRightLimitEnvelope;SpoolerTachSensorEnvelope;SpoolerCableRouteEnvelope;SpoolMotorMount;SpoolMotorEnvelope;ControlPanel;PPR-C11_ControlBezel;ControlEmergencyStopEnvelope;ControlEncoderEnvelope;ControlSafetyInputEnvelope;ControlBezelM3Fastener1;ControlBezelM3Fastener2;ControlBezelM3Fastener3;ControlBezelM3Fastener4;PSU;CableDuct;PPR-C12_CableClip0;PPR-C12_CableClip1;PPR-C12_CableClip2;PPR-C12_CableClip3;PPR-C12_CableClip4;PPR-C12_CableClip5;PPR-C12_CableClip6;PPR-C12_CableClip7;ExtruderSupportRailRear;ExtruderRearFixedDatum;ExtruderFrontSlidingGuide;ExtruderFixedCollar;HotMountBoltFrontFront;HotMountBoltFrontRear;HotMountBoltRearFront;HotMountBoltRearRear,df59fd138780f538a5fa62dad6e2770b49bf4d94,assembly/PPR-FULL-ASM.step,AP214_FALLBACK_FREECAD,mm,187,187,"[470.0, 700.0, 930.0]",17051317.201572,,317401124735ce19dbd7970e92cc05e5bc73ef90017fc6a1f5a80a99aff89777,PASS,
PPR-SHREDDER-ASM,final-design-fabrication-closure-v0.8,CutterPlateFront;CutterPlateRear;Shaft105;Hook105_0;Hook105_1;Hook105_2;Hook105_3;Hook105_4;Hook105_5;Bearing105_315;Bearing105_455;Shaft153;Hook153_0;Hook153_1;Hook153_2;Hook153_3;Hook153_4;Hook153_5;Bearing153_315;Bearing153_455;M6Fastener70_550;M6Fastener70_645;M6Fastener190_550;M6Fastener190_645;Screen;PPR-C04_ScreenHandle;PhaseGear105;PhaseGear153;CutterSprocket30T;MotorSprocket12T;ChainTightSide;ChainSlackSide;DriveGuard;DriveMotorGMP60Reference;DriveAdapterGMP60;MotorMountPlate;BearingRetainerFront;BearingRetainerRear;ShredderRPMSensorEnvelope;ShredderCableRouteEnvelope,df59fd138780f538a5fa62dad6e2770b49bf4d94,assembly/PPR-SHREDDER-ASM.step,AP214_FALLBACK_FREECAD,mm,40,40,"[195.0, 459.0, 195.0]",1693641.295937,,02332d713761e0055f12d764d2a9d524749bb9bbebb53355472dd40df59b5e6f,PASS,
PPR-FEEDER-ASM,final-design-fabrication-closure-v0.8,MetalHopper;PPR-C01_SlidingLid;PPR-C02_AntiReach;FlakeBin;PPR-C03_FlakeCorner0;PPR-C03_FlakeCorner1;PPR-C03_FlakeCorner2;PPR-C03_FlakeCorner3;SealedFeedHopper;HopperPTCSpreader;HopperPTC1;HopperPTC2;HopperPTC3;HopperPTC4;HopperPTCClamp;TemperatureProbeT5;HopperThermalFuse;FeederHousing;FeederAuger;FeederAgitatorDriveShaft;FeederDriveReference;FeederCableRouteEnvelope,df59fd138780f538a5fa62dad6e2770b49bf4d94,assembly/PPR-FEEDER-ASM.step,AP214_FALLBACK_FREECAD,mm,22,22,"[419.0, 272.0, 512.0]",1156450.621731,,e816b9d99b482ae3d13b0a3ea36bdc64db0dee4b4431b5504f23c2cc890d8b5d,PASS,
PPR-EXTRUDER-ASM,final-design-fabrication-closure-v0.8,ThrustPlate;Screw;Barrel;BarrelBandHeaterZ1;TemperatureProbeT1;BarrelBandHeaterZ2;TemperatureProbeT2;BarrelBandHeaterZ3;TemperatureProbeT3;BarrelThermalFuse;HotShield;ExtruderDrive;DownDieBody;DownDieBreaker;DownDieInsert;DownDieRelief;DownDieGasket;DieCartridgeHeater;TemperatureProbeT4;DieThermalFuse;HeaterLeadZ1;HeaterLeadZ2;HeaterLeadZ3;HeaterCableDuct;HeaterCableDuctBridgeX;HeaterCableDuctBridgeY;ExtruderRearFixedDatum;ExtruderFrontSlidingGuide;ExtruderFixedCollar;HotMountBoltFrontFront;HotMountBoltFrontRear;HotMountBoltRearFront;HotMountBoltRearRear,df59fd138780f538a5fa62dad6e2770b49bf4d94,assembly/PPR-EXTRUDER-ASM.step,AP214_FALLBACK_FREECAD,mm,33,33,"[407.0, 380.0, 119.0]",1000219.686637,,bd30fe00595b1028e59319cfbe4e1811ddb900898bd71e8b8672686c38d51590,PASS,
PPR-FORMING-ASM,final-design-fabrication-closure-v0.8,PPR-C05_CoolingDuctLower;PPR-C05_CoolingDuctUpper;PPR-C06_GaugeX;PPR-C06_GaugeY;PullerPlateFront;PullerPlateRear;PullerRoll54.5;PullerSpindle54.5;PullerRoll94.5;PullerSpindle94.5;FormingCableRouteEnvelope;PPR-C07_PullerGuard;GuideRoller;GuideRollerAxle;GuideBearingFront;GuideBearingRear;PPR-C08_GuideBracketFront;PPR-C08_GuideBracketRear;DancerArm;DancerSupportPlate;DancerSupportPost;DancerPivotAxle;DancerEndRoller;DancerEndAxle;Spool;SpoolCore;SpoolSpindle;SpoolBearingPlateFront;SpoolBearingPlateRear;SpoolBearingFront;SpoolBearingRear;PPR-C09_SpoolAdapterFront;PPR-C09_SpoolAdapterRear;TraverseRodA;TraverseRodB;TraverseEndPlateLeft;TraverseEndPlateRight;PPR-C10_TraverseCarriage;DancerSensorEnvelope;TraverseLeftLimitEnvelope;TraverseRightLimitEnvelope;SpoolerTachSensorEnvelope;SpoolerCableRouteEnvelope;SpoolMotorMount;SpoolMotorEnvelope,df59fd138780f538a5fa62dad6e2770b49bf4d94,assembly/PPR-FORMING-ASM.step,AP214_FALLBACK_FREECAD,mm,45,45,"[415.0, 374.0, 330.0]",3523390.741054,,d233a380f7d8d3d0385143e252ca02808af169aa801f91a283fa6a95a69b77bc,PASS,
PPR-FRAME-ASM,final-design-fabrication-closure-v0.8,FrameColumn0_0;FrameColumn0_680;FrameColumn450_0;FrameColumn450_680;FrameX0_0;FrameX0_680;FrameY0_0;FrameY0_450;FrameX910_0;FrameX910_680;FrameY910_0;FrameY910_450;FrameTierY320_0;FrameTierY320_450;MidRail320;FrameTierY500_0;FrameTierY500_450;MidRail500;FrameBottomCross275;FrameBottomCross405;FrameBottomCross440;FrameBottomCross608;FrameSpoolColumnFront;FrameSpoolColumnRear;FrameSpoolTopRail;FrameTraversePostLeft;FrameTraversePostRight;ExtruderSupportRailRear,df59fd138780f538a5fa62dad6e2770b49bf4d94,assembly/PPR-FRAME-ASM.step,AP214_FALLBACK_FREECAD,mm,28,28,"[470.0, 700.0, 930.0]",6531200.0,,e1280771524b2fee511acf835f8d3fa9a4c8d22c60418653b6800b72d58bd7fb,PASS,
ExtruderSupportRailRear,final-design-fabrication-closure-v0.8,ExtruderSupportRailRear,df59fd138780f538a5fa62dad6e2770b49bf4d94,cnc_parts/ExtruderSupportRailRear.step,AP214_FALLBACK_FREECAD,mm,1,1,"[390.0, 20.0, 20.0]",156000.0,,54946324b44730d5887ae62f3b50998796a14dd143080e57a4409f76cc039d6f,PASS,
ExtruderRearFixedDatum,final-design-fabrication-closure-v0.8,ExtruderRearFixedDatum,df59fd138780f538a5fa62dad6e2770b49bf4d94,cnc_parts/ExtruderRearFixedDatum.step,AP214_FALLBACK_FREECAD,mm,1,1,"[8.0, 150.0, 58.0]",23412.853417,,38dcf1b740b4e2bfa611330632b755bdcfefeb90d64184498c157ac04df2eef3,PASS,
ExtruderFrontSlidingGuide,final-design-fabrication-closure-v0.8,ExtruderFrontSlidingGuide,df59fd138780f538a5fa62dad6e2770b49bf4d94,cnc_parts/ExtruderFrontSlidingGuide.step,AP214_FALLBACK_FREECAD,mm,1,1,"[8.0, 150.0, 76.0]",28694.575127,,268f1dadc1852009031b6c3944221806b6b060ce98299cacb5fdb8386e10f99e,PASS,
ExtruderFixedCollar,final-design-fabrication-closure-v0.8,ExtruderFixedCollar,df59fd138780f538a5fa62dad6e2770b49bf4d94,cnc_parts/ExtruderFixedCollar.step,AP214_FALLBACK_FREECAD,mm,1,1,"[12.0, 50.0, 41.0]",9818.275786,,53181f0a145b98d03085f89eb4369f101bfd5cf668d0b6b7f8efd6d736e321e5,PASS,
